name,alternate name,common set
dark enlightenment,neoreactionism,1
pan-somalism,,1
national anarchism,ntnl anrchsm,1
pancasila,,1
emotivism,,1
philosophy of dialogue,dialogue phil,1
scholasticism,,1
african philosophy,african phil,1
reliabilism,,1
hedonism,,1
christian libertarianism,chr lbrtrnsm,1
open individualism,identity phil,1
green socialism,,1
feminism,,1
hutterism,,1
magocracy,,1
philosophy of statistics,statistics phil,1
skepticism,,1
guild socialism,,1
\u015b\u016bnyat\u0101,,1
wicca,,1
progressivism,,1
black nationalism,black ntnlsm,1
third position,,1
polygamy,,1
reductionism,,1
dialectics,,1
historical determinism,histl dtrmnsm,1
leaderless resistance,ldrls rstnc,1
logical atomism,,1
philosophy of art,art phil,1
transmodernism,,1
pan-turkism,,1
nazism,,1
banana republic,,1
analytic philosophy,analytic phil,1
technocracy,,1
daoism,,1
moral realism,,1
paternalistic conservatism,ptrnl cnsrvtsm,1
religious humanism,rlgs humanism,1
gaullism,,1
fraternity of the inner light,FIL,0
german philosophy,german phil,1
singularitarianism,singularity,1
situationalism,,1
sankarism,,1
queer anarchism,,1
cognitive biases,cognitive bias,1
emotionalism,,1
quantum mysticism,quantum mystcsm,1
philosophy of philosophy,philosophy phil,1
egoist anarchism,egoist anrchsm,1
distributism,,1
oligarchy,,1
expressionism,,1
ethnocentrism,,1
neo-nazism,,1
peronism,justicialism,1
ceremonial magic,ceremony magic,1
ecumenism,,1
shamanism,,1
cynicism,,1
african socialism,african sclsm,1
eternalism,,1
new thought,,1
anarcho-pacifism,anrch pacifism,1
japanese philosophy,japanese phil,1
value pluralism,,1
ancient philosophy,ancient phil,1
communism,,1
lutheranism,,1
posthumanism,,1
left-wing market anarchism,lft mkt anrchsm,1
anti-stalinist left,anti-stalinism,1
paleolibertarianism,paleolbrtrnsm,1
melanesian socialism,melanesia sclsm,1
moral skepticism,moral skptcsm,1
christian humanism,chr humanism,1
liberalism,,1
political catholicism,poli cath,1
informal logic,,1
rastafari,,1
philosophy of psychology,psychology phil,1
victorian morality,victorianism,1
libertarian marxism,librtn marx,1
baathism,,1
muscular liberalism,muscular lib,1
fundamentalism,,1
nondualism,,1
type physicalism,rdctv mtrlsm,0
amor fati,,1
islamic feminism,islamic fmnsm,1
legalism,,1
aristocracy,,1
tetralemma,,1
right-libertarianism,right-lbrtrnsm,1
voluntarism_(philosophy),voluntarism,1
marxism\u2013leninism\u2013maoism\u2013prachanda path,UCPN,0
situationist international,situationism,1
atheism,,1
anti-liberalism,,1
marxist feminism,marxist fmnsm,1
